N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
194,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00316,ESCUELA DE EDUCACION BASICA COMPLETA CARLOS CALDERON CHICO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,67,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,12 METROS DE LARGO POR 4 METROS DE ANCHO,-79.9388000234,-2.22559987114
195,Zona 8,09D01,GUAYAS,GUAYAQUIL,XIMENA,Ordinario,09H00329,ESCUELA DE EDUCACION BASICA FISCAL GUIDO GARAY VARGAS MACHUCA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,63,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,96 Metros cuadrados  largo 48 y ancho 2metros ,-79.8888500859,-2.22481653288
196,Zona 6,01D08,AZUAY,SIGSIG,LUDO,Ordinario,01H01401,ESCUELA DE EDUCACION BASICA DIEGO ABAD CEPEDA,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,21,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,,,6m x 10m,-78.916425281,-3.10817067668
197,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00343,UNIDAD EDUCATIVA FISCAL CDMTE RAFAEL MORAN VALVERDE,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,94,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9360871534,-2.21567405521
198,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00357,ESCUELA DE EDUCACION  BASICA FRANCISCO DE ORELLANA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,23,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9179532051,-2.20089442254
199,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00358,ESCUELA DE EDUCACION BASICA ROBERTO ILLINGWORTH ICAZA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,89,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9248462668,-2.20503851311
200,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00386,UNIDAD EDUCATIVA AIDA LEON DE RODRIGUEZ LARA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,39,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9189245668,-2.21869209369
201,Zona 6,03D01,CAÑAR,AZOGUES,COJITAMBO,Ordinario,03H00089,ESCUELA DE EDUCACION BASICA DR EULOGIO ASTUDILLO CORDERO,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,14,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,,,30mts,-78.8759999707,-2.73627772772
202,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00391,ESCUELA DE EDUCACION BASICA FRANCISCO OBANDO PACHECO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,180m2,-79.9189245668,-2.21869209369
203,Zona 8,09D04,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,09H00403,ESCUELA DE EDUCACION BASICA JORGE LUIS AUZ LANDAZURI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,45,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9257138135,-2.22124909739
204,Zona 1,08D03,ESMERALDAS,MUISNE,SALIMA,Ordinario,08H00612,ESCUELA DE EDUCACION BASICA FISCAL MANABI,FISCAL,Intercultural,COSTA,Rural,Inicial y EGB,21,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,,,,-79.9659709907,0.32403970455
205,Zona 6,01D01,AZUAY,CUENCA,SIDCAY,Ordinario,01H00833,UNIDAD EDUCATIVA DORA BEATRIZ CANELOS,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",23,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-78.9816944646,-2.82663891993
206,Zona 8,09D03,GUAYAS,GUAYAQUIL,GARCIA MORENO,Ordinario,09H00452,ESCUELA DE EDUCACION BASICA FISCAL OLGA QUIÑONEZ DE ESPINOZA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,19,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8971350312,-2.21207976243
207,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00510,ESCUELA DE EDUCACION BASICA FISCAL PEDRO J MENEDEZ NAVARRO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,38,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.906219051,-2.20775435203
208,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00547,ESCUELA DE EDUCACION BASICA FISCAL AGUSTIN VERA LOOR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,90,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.920418172,-2.20841760832
209,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00561,ESCUELA DE EDUCACION BASICA FISCAL MATILDE MARQUEZ DE LA PLATA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,106,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.914206881,-2.22107691475
210,Zona 8,09D04,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00567,ESCUELA DE EDUCACION BASICA FISCAL JAIME ALFONSO NEBOT VELASCO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,91,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,4X6. METROS,-79.9132497058,-2.20563546228
211,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00570,UNIDAD EDUCATIVA FISCAL PROF EDUARDO FLORES TORRES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,105,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,42 metros cuadrados,-79.9121210331,-2.21234931955
212,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00592,ESCUELA DE EDUCACION BASICA FISCAL CORONEL MANUEL SERRANO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,36,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9113162154,-2.20538347954
213,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00598,CENTRO DE EDUCACION INICIAL FISCAL ALEJANDRINA ANDRADE VALDEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial,174,2026,1,2026,8,22549.92,2026,8,10080,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,8x8,-79.909467041,-2.20393519434
214,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00615,ESCUELA DE EDUCACION BASICA FISCAL ESPERANZA CAPUTI OLVERA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,98,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,45 METROS CUADRADOS,-79.9034818699,-2.207152697
215,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00617,ESCUELA DE EDUCACION BASICA FISCAL REPUBLICA DE BOLIVIA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,23,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.909210397,-2.20482761858
216,Zona 8,09D03,GUAYAS,GUAYAQUIL,LETAMENDI,Ordinario,09H00619,ESCUELA DE EDUCACION BASICA FISCAL CLEMENCIA CORONEL DE PINCAY,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9048737216,-2.2072445455
217,Zona 8,09D07,GUAYAS,GUAYAQUIL,PASCUALES,Ordinario,09H00693,ESCUELA DE EDUCACION BASICA FISCAL CABO II VICENTE ROSERO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,17,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15m x 30m=450m2,-79.92592458,-2.07343155246
218,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00700,ESCUELA DE EDUCACION BASICA FISCAL SOCIEDAD ITALIANA GARIBALDI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,93,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9406670028,-2.14466698949
219,Zona 8,09D03,GUAYAS,GUAYAQUIL,SUCRE,Ordinario,09H00703,ESCUELA DE EDUCACION BASICA FISCAL NUMA POMPILIO LLONA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,45,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8962823151,-2.19918947638
220,Zona 8,09D03,GUAYAS,GUAYAQUIL,SUCRE,Ordinario,09H00706,UNIDAD EDUCATIVA FISCAL REPUBLICA DE FRANCIA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,76,2026,1,2026,3,8456.22,2026,3,3780,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,5 x 12= 60m2  pero esta  al exterior,-79.9001557271,-2.19822674424
221,Zona 6,01D01,AZUAY,CUENCA,SAN JOAQUIN,Ordinario,01H00792,UNIDAD EDUCATIVA EDUARDO CRESPO MALO,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",11,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-79.0913853552,-2.9222190084
222,Zona 4,13D01,MANABI,PORTOVIEJO,18 DE OCTUBRE,Ordinario,13H00296,ESCUELA DE EDUCACION BASICA GENERAL VICENTE ANDA AGUIRRE,FISCAL,Intercultural,COSTA,Urbana,Inicial y EGB,23,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,,,,-80.461524405,-1.05551243797
223,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00846,ESCUELA DE EDUCACION BASICA FISCAL PACIFICA VALLE PIZA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,97,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9675437073,-2.09289539816
224,Zona 8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00871,ESCUELA DE EDUCACION BASICA FISCAL SIMON BOLIVAR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,137,2026,1,2026,6,16912.44,2026,6,7560,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9125139948,-2.13492723338
225,Zona 6,01D01,AZUAY,CUENCA,SININCAY,Ordinario,01H00850,UNIDAD EDUCATIVA JOAQUIN FERNANDEZ DE CORDOVA,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",17,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,,,305m cuadrados,-79.0207975314,-2.8601607259
226,Zona 8,09D07,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00904,ESCUELA DE EDUCACION BASICA FISCAL MATILDE HIDALGO DE PROCEL,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,49,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9591767919,-2.05386977899
227,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00914,UNIDAD EDUCATIVA FISCAL  AGUSTIN CASTRO ESPINOZA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,101,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9659639137,-2.11139048088
228,Zona 8,09D07,GUAYAS,GUAYAQUIL,PASCUALES,Ordinario,09H00928,UNIDAD EDUCATIVA FISCAL EDUARDO KINGMAN RIOFRIO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,26,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,4*6,-79.9290503059,-2.07343178291
229,Zona 8,09D07,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00929,ESCUELA DE EDUCACION BASICA FISCAL CACIQUE TOMALA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,49,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,15m x 15m,-79.9300107536,-2.10632851163
230,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00947,ESCUELA DE EDUCACION BASICA FISCAL  ROMMEL MOSQUERA JURADO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,94,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,13.50 × 11.20 = 151.20,-79.9546491277,-2.12722673619
231,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00958,ESCUELA DE EDUCACION BASICA FISCAL JORGE ENRIQUE ADOUM,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,105,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9219499828,-2.1294569993
232,Zona 6,01D01,AZUAY,CUENCA,CAÑARIBAMBA,Ordinario,01H00076,UNIDAD EDUCATIVA CESAR DAVILA ANDRADE,FISCAL,Intercultural,SIERRA,Urbana,"Inicial, Educacion Basica y Bachillerato",73,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-78.9886054483,-2.90579115939
233,Zona 6,01D02,AZUAY,CUENCA,SAYAUSI,Ordinario,01H00814,ESCUELA DE EDUCACION BASICA JESUS VAZQUEZ OCHOA,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,73,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-79.0614478915,-2.87981342774
234,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H00991,ESCUELA DE EDUCACION BASICA FISCAL BLANCA GARCIA PLAZA DE ARIAS,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,50,2026,1,2026,3,8456.22,2026,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9626746562,-2.12201073415
235,Zona 6,01D06,AZUAY,PAUTE,PAUTE,Ordinario,01H01148,UNIDAD EDUCATIVA 26 DE FEBRERO,FISCAL,Intercultural,SIERRA,Urbana,"Inicial, Educacion Basica y Bachillerato",88,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,,,20 X 20,-78.7663195495,-2.77821177376
236,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01013,ESCUELLA DE EDUCACION BASICA FISCAL AMARILIS FUENTES ALCIVAR,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,21,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,500 m2,-79.9242210046,-2.12466398147
237,Zona 6,01D01,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS (STA. ROSA),Ordinario,01H00711,UNIDAD EDUCATIVA SANTA ROSA,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",14,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-78.961157231,-2.78456948769
238,Zona 6,14D02,MORONA SANTIAGO,PALORA,PALORA (METZERA),Ordinario,14H00238,ESCUELA DE EDUCACION BASICA SANGAY,FISCAL,Intercultural,SIERRA,Urbana,Inicial y EGB,93,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,,,13 por 10 metros ,-77.9646171949,-1.70220061427
239,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01056,ESCUELA DE EDUCACION BASICA FISCAL LUIS FELIX LOPEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,127,2026,1,2026,6,16912.44,2026,6,7560,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,8.00 X 8.00 MT2,-79.9682460558,-2.10024424362
240,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01088,ESCUELA DE EDUCACION BASICA FISCAL CARLOMAGNO ANDRADE PAREDES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,95,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9176210115,-2.11564597838
241,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01106,ESCUELA DE EDUCACION BASICA FISCAL ENRIQUE VALLEJO VIVANCO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,46,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.92192556,-2.15180082904
242,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01114,ESCUELA DE EDUCACION BASICA FISCAL RAFAELA VALLEJO BARAHONA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,47,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,54 metros cuadrados ,-79.9129229797,-2.11917297378
243,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01129,ESCUELA DE EDUCACION BASICA FISCAL LUIS BONILLA CASTILLO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,42,2026,1,2026,2,5637.48,2026,2,2520,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,10X20= 200 metros cuadardos                                                            ,-79.9274839986,-2.18714200975
244,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01130,UNIDAD EDUCATIVA FISCAL FICOA DE MONTALVO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,25,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,300 metros ,-79.9242210046,-2.12466398147
245,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01182,UNIDAD EDUCATIVA  FISCAL VIOLETA LUNA CARRERA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,66,2026,1,2026,3,8456.22,2026,3,3780,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,7 x 5 ,-79.9934525373,-2.08792937367
246,Zona 8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01192,CENTRO DE EDUCACION INICIAL FISCAL LCDA  LUPE ARROBA DE GOVEA,FISCAL,Intercultural,COSTA,Urbana,Inicial,148,2026,1,2026,7,19731.18,2026,7,8820,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8840742619,-2.12437193484
247,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01206,ESCUELA DE EDUCACION BASICA FISCAL RITA LECUMBERRI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,24,2026,1,2026,1,2818.74,2026,1,1260,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,6 mts de largo por 7 mts. de ancho,-79.915682729,-2.12720041385
248,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01214,ESCUELA DE EDUCACION BASICA FISCAL DR TEODORO ALVARADO OLEA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,40,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.935332396,-2.16005637474
249,Zona 6,03D01,CAÑAR,AZOGUES,AZOGUES,Ordinario,03H00031,UNIDAD EDUCATIVA 16 DE ABRIL,FISCAL,Intercultural,SIERRA,Urbana,"Inicial, Educacion Basica y Bachillerato",86,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-78.8445050306,-2.73892856337
250,Zona 6,03D03,CAÑAR,LA TRONCAL,LA TRONCAL,Ordinario,03H00504,UNIDAD EDUCATIVA 31  DE OCTUBRE,FISCAL,Intercultural,COSTA,Urbana,"Inicial, Educacion Basica y Bachillerato",89,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-79.3468027559,-2.42062118887
251,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01264,ESCUELA DE EDUCACION BASICA FISCAL DR ALFREDO PAREJA DIEZCANSECO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,128,2026,1,2026,6,16912.44,2026,6,7560,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9239049861,-2.14556702317
252,Zona 9,17D03,PICHINCHA,QUITO,EL CONDADO,Ordinario,17H00196,NUEVE DE AGOSTO,FISCAL,Intercultural,SIERRA,Urbana,Inicial y EGB,16,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,,,,-78.5028367217,-0.0922486067405
253,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01272,ESCUELA DE EDUCACION BASICA FISCAL VICENTE RAMON ROCA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,79,2026,1,2026,4,11274.96,2026,4,5040,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,"6 X 7,5 = 45 metros cuadrados",-79.9387959765,-2.14622298122
254,Zona 6,01D04,AZUAY,GUALACEO,SAN JUAN,Ordinario,01H01067,UNIDAD EDUCATIVA NICANOR AGUILAR MALDONADO,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",29,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-78.8149722099,-2.96547218256
255,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01283,CENTRO DE EDUCACION INICIAL  FISCAL LUIS ALFREDO MARTINEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,90,2026,1,2026,5,14093.7,2026,5,6300,2026.0,1.0,4944.0,ML_Mo_JE,NO SE ATENDERA EN 2025,,5x8=40,-80.0082661334,-2.11505028376
256,Zona 6,01D04,AZUAY,GUALACEO,JADAN,Ordinario,01H01042,UNIDAD EDUCATIVA JADAN,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",23,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-78.8686944322,-2.8953332965
257,Zona 8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01324,ESCUELA DE EDUCACION BASICA FISCAL JOSE MIGUEL GARCIA MORENO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,25,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.8918236583,-2.12275541693
258,Zona 8,09D06,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01334,ESCUELA DE EDUCACION BASICA FISCAL JOSE MENDOZA CUCALON,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,16,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9299755561,-2.14413178859
259,Zona 8,09D05,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01344,ESCUELA DE EDUCACION BASICA FISCAL DON RUPERTO ARTETA MONTES,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,45,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9030129064,-2.12917599461
260,Zona 6,03D03,CAÑAR,LA TRONCAL,LA TRONCAL,Ordinario,03H00741,UNIDAD EDUCATIVA NELA MARTINEZ ESPINOSA,FISCAL,Intercultural,COSTA,Urbana,"Inicial, Educacion Basica y Bachillerato",91,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,,,,-79.3326304524,-2.43739716063
261,Zona 9,17D05,PICHINCHA,QUITO,JIPIJAPA,Ordinario,17H00281,UNIDAD EDUCATIVA FISCAL RAUL ANDRADE,FISCAL,Intercultural,SIERRA,Urbana,"Inicial, Educacion Basica y Bachillerato",27,2026,1,2026,1,2818.74,2026,1,1260,,0.0,0.0,ML_Mo,,,,-78.463400975,-0.15783295428
262,Zona 6,01D06,AZUAY,PAUTE,EL CABO,Ordinario,01H01183,UNIDAD EDUCATIVA ATENAS DEL ECUADOR,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",30,2026,1,2026,2,5637.48,2026,2,2520,,0.0,0.0,ML_Mo,,,,-78.7765369981,-2.85534601289
263,Zona 8,09D08,GUAYAS,GUAYAQUIL,TARQUI,Ordinario,09H01423,ESCUELA DE EDUCACION BASICA FISCAL REMIGIO CRESPO TORAL,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB,102,2026,1,2026,4,11274.96,2026,4,5040,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-79.9696481752,-2.11485030647
