N°,ZONA,DISTRITO,PROVINCIA,CANTON,PARROQUIA,TIPO_EDUCACION,AMIE,INSTITUCION,SOSTENIMIENTO,JURISDICCION,REGIMEN,ZONA_INEC,NIVEL_DE_EDUCACION,NRO_NINOS,AUX_ANIO_DOTACION,AUX_T_IE,MD_ANIO_DOTACION,MD_PARALELOS,MD_MONTO_USD,M_ANIO_DOTACION,M_TIPO_DE_AMBIENTE,M_MONTO_USD,JE_ANIO_DOTACION,JE_CANTIDAD,JE_MONTO_USD,AUX_IE_MATERIAL,SAE,REVISION_DNIF,DIMENSIONES,LONGITUD,LATITUD
15,Zona 3,18D02,TUNGURAHUA,AMBATO,HUACHI GRANDE,Ordinario,18H00193,ESCUELA DE EDUCACION BASICA DR ALONSO CASTILLO,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,28,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-78.6351994779,-1.29355313865
16,Zona 3,05D01,COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,Ordinario,05H00154,UNIDAD EDUCATIVA FELIX VALENCIA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,24,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5940332655,-0.817458185808
17,Zona 3,05D01,COTOPAXI,LATACUNGA,MULALO,Ordinario,05H00158,UNIDAD EDUCATIVA MULALO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,72,2027,1,2027,3,8456.22,2027,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.5802796772,-0.781302190599
18,Zona 3,05D01,COTOPAXI,LATACUNGA,MULALO,Ordinario,05H00166,UNIDAD EDUCATIVA GRAL LEONIDAS PLAZA GUTIERREZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,21,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.57533351,-0.729975046781
19,Zona 3,05D01,COTOPAXI,LATACUNGA,POALO,Ordinario,05H00174,UNIDAD EDUCATIVA POALO - GARCIA MORENO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,14,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.672676113,-0.883206015978
20,Zona 3,18D05,TUNGURAHUA,SANTIAGO DE PILLARO,SAN MIGUELITO,Ordinario,18H00619,12 DE NOVIEMBRE,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",43,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-78.5404709976,-1.20395145194
21,Zona 3,18D01,TUNGURAHUA,AMBATO,IZAMBA,Ordinario,18H00224,UNIDAD EDUCATIVA TARCILA ALBORNOZ DE GROSS,FISCAL,Intercultural,SIERRA,Rural,"Inicial, Educacion Basica y Bachillerato",36,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-78.5633102139,-1.22028456862
22,Zona 3,18D05,TUNGURAHUA,SANTIAGO DE PILLARO,EMILIO MARIA TERAN (RUMIPAMBA),Ordinario,18H00584,ESCUELA DE EDUCACION BASICA GABRIEL URBINA,FISCAL,Intercultural,SIERRA,Rural,Inicial y EGB,15,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,,,,-78.5136248573,-1.2235906364
23,Zona 3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00186,UNIDAD EDUCATIVA PASTOCALLE,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,53,2027,1,2027,3,8456.22,2027,3,3780,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.6386656176,-0.731690350597
24,Zona 3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00191,ESCUELA DE EDUCACION BASICA RAFAEL CAJIAO ENRIQUEZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,15,2027,1,2027,2,5637.48,2027,2,2520,,0.0,0.0,ML_Mo,NO SE ATENDERA EN 2025,,,-78.6201356832,-0.72360826445
