zona,distrito,provincia,canton,parroquia,tipo_educacion,amie,institucion,sostenimiento,jurisdiccion,regimen,zona_inec,nivel_educacion,nro_niños_iniciales,aux_año_dotacion,aux_t_ie,md_año_dotacion,md_paralelos,md_monto_usd,m_año_dotacion,m_tipo_ambiente,m_monto_usd,je_año_dotacion,je_cantidad,je_monto_usd,aux_ie_material,latitud,longitud
3,05D01,COTOPAXI,LATACUNGA,ALAQUEZ (ALAQUES),Ordinario,05H00124,UNIDAD EDUCATIVA MANUEL GONZALO ALBAN RUMAZO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,49,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-0.864862038,-78.59705735
3,05D01,COTOPAXI,LATACUNGA,GUAYTACAMA (GUAITACAMA),Ordinario,05H00143,ESCUELA DE EDUCACION BASICA RIOBAMBA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,28,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.809190109,-78.64474727
3,05D01,COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,Ordinario,05H00154,UNIDAD EDUCATIVA FELIX VALENCIA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,32,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.817458186,-78.59403327
3,05D01,COTOPAXI,LATACUNGA,MULALO,Ordinario,05H00158,UNIDAD EDUCATIVA MULALO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,68,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-0.781302191,-78.58027968
3,05D01,COTOPAXI,LATACUNGA,MULALO,Ordinario,05H00166,UNIDAD EDUCATIVA GRAL LEONIDAS PLAZA GUTIERREZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,22,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.729975047,-78.57533351
3,05D01,COTOPAXI,LATACUNGA,POALO,Ordinario,05H00174,UNIDAD EDUCATIVA POALO - GARCIA MORENO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,18,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.883206016,-78.67267611
3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00183,UNIDAD EDUCATIVA  CORONEL GERMÁNICO RIBADENEIRA VALENCIA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,25,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.71070344,-78.60949255
3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00184,UNIDAD EDUCATIVA QUITO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,18,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.710225471,-78.59433538
3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00185,UNIDAD EDUCATIVA ATANASIO VITERI KAROLYS,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,18,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.617218479,-78.6301633
3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00186,UNIDAD EDUCATIVA PASTOCALLE,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,68,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-0.731690351,-78.63866562
3,05D01,COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,Ordinario,05H00191,ESCUELA DE EDUCACION BASICA RAFAEL CAJIAO ENRÍQUEZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,15,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.723608264,-78.62013568
3,05D01,COTOPAXI,LATACUNGA,TANICUCHI,Ordinario,05H00201,UNIDAD EDUCATIVA MARCO AURELIO SUBIA MARTINEZ - BATALLA DE PANUPALI,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,133,2027,1,2027,6,17509.56,2027,6,9168.0,0,0,0.0,ML_Mo,-0.779056645,-78.63683508
3,05D01,COTOPAXI,LATACUNGA,TANICUCHI,Ordinario,05H00210,UNIDAD EDUCATIVA JUAN MANUEL LASSO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,59,2027,1,2027,3,8754.78,2027,3,4584.0,2027,1,5748.0,ML_Mo_JE,-0.756718327,-78.61755881
3,05D01,COTOPAXI,LATACUNGA,TOACASO,Ordinario,05H00221,UNIDAD EDUCATIVA TOACASO,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,67,2027,1,2027,3,8754.78,2027,3,4584.0,2027,1,5748.0,ML_Mo_JE,-0.756980075,-78.68309413
3,05D02,COTOPAXI,LA MANA,EL CARMEN,Ordinario,05H00240,UNIDAD EDUCATIVA  FEDERACIÓN DEPORTIVA DE COTOPAXI,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,100,2027,1,2027,4,11673.04,2027,4,6112.0,2027,1,5748.0,ML_Mo_JE,-0.931935169,-79.21970778
3,05D02,COTOPAXI,LA MANA,LA MANA,Ordinario,05H00245,UNIDAD EDUCATIVA LA MANA,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,179,2027,1,2027,7,20427.82,2027,7,10696.0,2027,1,5748.0,ML_Mo_JE,-0.942421987,-79.23160578
3,05D02,COTOPAXI,LA MANA,EL TRIUNFO,Ordinario,05H00286,UNIDAD EDUCATIVA DR NESTOR MOGOLLON LOPEZ,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,42,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-0.942315071,-79.27055035
3,05D02,COTOPAXI,LA MANA,LA MANA,Ordinario,05H00287,UNIDAD EDUCATIVA NARCISO CERDA MALDONADO,FISCAL,Intercultural,COSTA,Urbana,Inicial/EGB/Bachillerato,125,2027,1,2027,5,14591.3,2027,5,7640.0,0,0,0.0,ML_Mo,-0.939507213,-79.22583976
3,05D02,COTOPAXI,LA MANA,GUASAGANDA (CAB. EN GUASAGANDA CENTRO),Ordinario,05H00318,UNIDAD EDUCATIVA  GUASAGANDA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,24,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.802991492,-79.1566977
3,05D03,COTOPAXI,PANGUA,MORASPUNGO,Ordinario,05H00399,UNIDAD  EDUCATIVA  GUAPARA,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,47,2027,1,2027,3,8754.78,2027,3,4584.0,2027,1,5748.0,ML_Mo_JE,-1.108742463,-79.26626534
3,05D04,COTOPAXI,PUJILI,PUJILI,Ordinario,05H00472,UNIDAD EDUCATIVA PUJILI,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB/Bachillerato,48,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-0.95815928,-78.69379692
3,05D04,COTOPAXI,PUJILI,LA VICTORIA,Ordinario,05H00550,UNIDAD EDUCATIVA 14 DE OCTUBRE - VICENTE ROCAFUERTE,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,29,2027,1,2027,3,8754.78,2027,3,4584.0,2027,1,5748.0,ML_Mo_JE,-0.916905665,-78.69246769
3,05D04,COTOPAXI,PUJILI,TINGO,Ordinario,05H00568,UNIDAD EDUCATIVA DIGNA MARIA BEATRIZ CERDA NETO,FISCAL,Intercultural,COSTA,Rural,Inicial/EGB/Bachillerato,31,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-0.880416836,-79.1609541
3,05D06,COTOPAXI,SALCEDO,SAN MIGUEL,Ordinario,05H00621,UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,122,2027,1,2027,5,14591.3,2027,5,7640.0,0,0,0.0,ML_Mo,-1.044878564,-78.58848699
3,05D06,COTOPAXI,SALCEDO,ANTONIO JOSE HOLGUIN (SANTA LUCIA),Ordinario,05H00632,UNIDAD EDUCATIVA IGNACIO FLORES,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,43,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-1.098949032,-78.60414632
3,05D06,COTOPAXI,SALCEDO,CUSUBAMBA,Ordinario,05H00640,UNIDAD EDUCATIVA CUSUBAMBA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,30,2027,1,2027,2,5836.52,2027,2,3056.0,2027,1,5748.0,ML_Mo_JE,-1.069970446,-78.69991248
3,05D06,COTOPAXI,SALCEDO,MULALILLO,Ordinario,05H00648,UNIDAD EDUCATIVA LUIS A MARTINEZ,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,63,2027,1,2027,3,8754.78,2027,3,4584.0,0,0,0.0,ML_Mo,-1.092861041,-78.62107945
3,05D06,COTOPAXI,SALCEDO,MULLIQUINDIL (SANTA ANA),Ordinario,05H00658,UNIDAD EDUCATIVA EMILIO TERAN,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,38,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.033058258,-78.56463966
3,05D06,COTOPAXI,SALCEDO,PANSALEO,Ordinario,05H00665,UNIDAD EDUCATIVA NÉSTOR MOGOLLÓN,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB/Bachillerato,17,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.092059444,-78.57972515
3,05D06,COTOPAXI,SALCEDO,PANSALEO,Ordinario,05H00667,UNIDAD EDUCATIVA JOSE MEJÍA LEQUERICA,FISCAL,Intercultural,SIERRA,Rural,Inicial/EGB,23,2027,1,2027,2,5836.52,2027,2,3056.0,0,0,0.0,ML_Mo,-1.066584562,-78.59944807
3,05D04,COTOPAXI,SAQUISILI,SAQUISILI,Ordinario,05H00674,ESCUELA DE EDUCACION BASICA REPUBLICA DE COLOMBIA,FISCAL,Intercultural,SIERRA,Urbana,Inicial/EGB,94,2027,1,2027,4,11673.04,2027,4,6112.0,2027,1,5748.0,ML_Mo_JE,-0.839350937,-78.66993726
